row_id,sentiment_text,ground_truth,subject_tag,final_text_style_c,bing_liu_sentiment,bing_liu_sentiment_score,bing_liu_sentiment_confidence
10,"RT: @dimitrilascaris Today in Toronto, I asked pro-Trump Iranians whether it bothered them that the U.S. military massacred more than 100 school-girls in Iran.This is what happened.#IranWar #Toronto",neutral,General Conflict,today toronto ask pro trump iranians whether bother u military massacre schoolgirl iran happen,negative,-0.3333333333333333,0.3333333333333333
11,"It feels almost like March 2020, with one bad news after another. #IranWar",negative,General Conflict,feel almost like march one bad news another,neutral,0.0,1.0
12,"RE: https://fediscience.org/@petergleick/116189321935915921There's been a bit of this already, including Russian attacks on Ukraine. USA doing it now too. This is very bad and of course criminal.#USpol #IranWar",negative,Military Action,bit already include russian attack ukraine u bad course criminal,negative,-1.0,1.0
13,Pressure on the Gulf states’ budgets could lead them to reassess their overseas investments and future commitments as they consider options to alleviate the financial strain caused by the US-Israeli war against Iran.https://www.dawn.com/news/1979302/gulf-countries-reviewing-us-investments-amid-iran-war#news #worldnews #iran #iranwar #usa,neutral,General Conflict,pressure gulf state budget could lead reassess overseas investment future commitment consider option alleviate financial strain cause u israeli war iran,positive,0.3333333333333333,0.3333333333333333
14,Iran weakens faster than expected as US-Israel air campaign peaks  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/iran-weakens-faster-than-expected-as-us-israel-air-campaign-peaks/,negative,General Conflict,iran weaken faster expect u israel air campaign peak,neutral,0.0,1.0
15,Who really runs Iran?  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/who-really-runs-iran-pezeshkians-humiliation-reveals-revolutionary-guards-power/,neutral,General Conflict,really run iran,neutral,0.0,0.0
16,@thetnholler.bsky.social If my toddler acted like this they would go into a time out. What an awful POS human. #embarrassing #uspolitics #IranWar,negative,General Conflict,ask social toddler act like would go time awful po human,neutral,0.0,1.0
17,"""This is the first war since the Second World War that is directly impacting cities that we can consider hubs in the #globalEconomy."" #AmericanPrestige pod welcomes #EsfandyarBatmanghelidj to discuss the economic consequences of #Trump's #warOnIran https://americanprestigepod.com/episodes/5052012542 #Iran #IranWar #USpol #USforeignPolicy #USMiddleEastPolicy #régimeChangeWars #GulfStates #MiddleEast",neutral,General Conflict,first war since second world war directly impact city consider hubs pod welcome discuss economic consequence,positive,1.0,1.0
18,"With the bombing of the school and now this, the justification excuse of helping the people the FOTUS’s regime has used for attacking Iran is out the window. #USpol #IranWar “The Iranian Foreign Minister is claiming that the Epstein regime has just attacked a DESALINATION PLANT in Iran. If Iran responds in kind, the Middle East could become uninhabitable as there’s not enough fresh water for the populations to survive without their vulnerable desalination plants.” - The Resistance",neutral,Military Action,bomb school justification excuse help people forum regime use attack iran window iranian foreign minister claim epstein regime attack desalination plant iran iran respond kind middle east could become uninhabitable enough fresh water population survive without vulnerable desalination plant resistance,negative,-0.1111111111111111,0.1111111111111111
19,"Why Today in Tabs is my favorite newsletter:Takes like this: Now that xAI has bought X dot com and SpaceX has bought xAI, SpaceX is a lean, mean space launch satellite internet social media AI CSAM-as-a-service machine. Or, as Musk describes it, “a sentient sun to understand the Universe and extend the light of consciousness to the stars!” And this: if you, like me, are feeling somewhere close to a personal nadir of despair lately Tabs Senior Contributing Editor Bijan has some advice:I think it's important and quietly radical to remember that evil is real and it does exist. ... Good exists, too. There is an us and there is a them. Don't become like them. Caring about each other is the only thing that will bring us into the future.Also: The latest newsletter also has a long rant about how the people running the war in Iran was just don't give a shit about the destruction they're causing. A brief quote wouldn't do it justice. https://www.todayintabs.com/p/they-don-t-care?_bhlid=66d997c1878a2ec650106d6969597bc013d87dc0#SpaceX #Iran #IranWar #uspol",neutral,General Conflict,today tabs favourite newsletter take like mai buy dot com space buy mai space lean mean space launch satellite internet social medium camps service machine musk describes sentient sun understand universe extend light consciousness star like feel somewhere close personal nadir despair lately tabs senior contribute editor jan advice think important quietly radical remember evil real exist good exists u do become like care thing bring u future also late newsletter also long rant people run war iran do give shit destruction cause brief justice,neutral,0.0,1.0
20,NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide #EpsteinFiles #uk #peace #antiwar #DiverseSpectrumOfTheLeft #SupportIndependentMedia,neutral,General Conflict,play note bowie hawkins episode,neutral,0.0,0.0
21,Make America Go Away.#US #iran #iranwar #carloslatuff,negative,General Conflict,make america go away,neutral,0.0,0.0
22,Iran’s Assembly of Experts could meet to elect new supreme leader within 24 hours  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/irans-assembly-experts-meet-elect-new-supreme-leader-within-24-hours-27286869/,neutral,General Conflict,iran assembly expert could meet elect new supreme leader within hour,positive,1.0,1.0
23,Iranian-Americans rally in Washington for democracy amid U.S.-Israel military campaignWASHINGTON (Gray DC) – Iranian-Americans gathered in Washington on Saturday to rally for democracy in Iran as the…#NewsBeep #News #BreakingNews #AnaSami #AyatollahKhamenei #breakingnews #Dc #DonaldTrump #Iran #iranwar #IranianFuture #Iranian-Americans #iranians #Israel #POTUS #U.S.Iran #Washingtonhttps://www.newsbeep.com/423199/,neutral,Protest/Activism,iranian american rally washington democracy amid u israel military campaign washington gray iranian american gather washington saturday rally democracy iran american iran,neutral,0.0,0.0
24,Media Is Lying To You About The Kurds https://youtu.be/wX9TjE4aYh0?si=hZCVQFhsbWSEQ8xd#Kurdish #Kurdistan #kurds #iranwar #handsoffiran,neutral,General Conflict,medium lie kurd,negative,-1.0,1.0
25,"Interview: &quot;Trump Has No Clear Plan on Iran&quot;: fmr US officials&quot;Before my resignation, [this]is exactly what I was warning against&quot;.~Hala Rharrit&quot;It is ludicrous to expect the American people to believe that Iran would have attacked the US preemptively in the middle of negotiations.&quot;And the contradictory messages from Trump et al. show “how little they were really thinking this through before they went to war.”~Jasmine El-Gamalhttps://www.democracynow.org/2026/3/5/iran_state_defense #USPol #EUPol #IranWar .",neutral,Military Action,interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,negative,-0.14285714285714285,0.14285714285714285
26,"Analysis: &quot;Israel planned this war on Iran for 40 years.&quot;Netanyahu:&quot;This combined effort allows us to do what I have hoped to achieve for 40 years: to crush the regime of terror completely. That&#39;s my promise &amp; this is what is going to happen&quot; ~Netanyahu&quot;For 40 years, each year has been proclaimed the very last opportunity to stop the &quot;mad mullahs&quot; from obtaining a bomb – a bomb that never materialised.&quot;~Jonathan Cookhttps://www.middleeasteye.net/opinion/israel-planned-war-iran-40-years-everything-else-smoke-screen#USPol #EUPol #IranWar #USIsraeliCrimes .",negative,General Conflict,analysis israel plan war iran yearsnetanyahuthis combine effort allow u hop achieve year crush regime terror completely promise amp go happen tanya year year proclaim last opportunity stop mad mullah obtain bomb bomb never materialise jonathan cook,negative,-0.6666666666666666,0.6666666666666666
27,"Interview: &quot;America’s War for Greater Israel&quot;Mouin Rabbani unpacks:* the explosive new documents exposing Israel’s systematic ethnic cleansing in 1948;* Trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether Tehran’s bombing of Gulf states is a strategic miscalculation;* how Israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval.https://www.middleeastmonitor.com/20260303-americas-war-for-greater-israel-palestine-this-week-with-mouin-rabbani/ #USPol #EUPol #IranWar #USIMperialism .",negative,General Conflict,interview americas war great israel ruin rabbi unpacks explosive new document expose israel systematic ethnic cleanse trump top diplomacy moment negotiation gain traction whether tehran bomb gulf state strategic miscalculation israel unending quest security fuel decade expansion war amp regional upheaval,neutral,0.0,1.0
28,"Analysis: &quot;The Iranian Revolutionary Guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;Iran is fighting a techno-guerrilla war, [while] the US &amp; Israel fight a conventional one&quot;&quot;Quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. Not even Putin re Zelenskyy.https://www.juancole.com/2026/03/fighting-guerrilla-conventional.html #USPol #EUPol #IranWar #news .",neutral,General Conflict,analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure war tactic kill civilian leader war crime amp unprecedented modern warfare even putin teen key,negative,-0.14285714285714285,0.14285714285714285
29,"#operationepicfailure #iran #iranwar #taco Every body warned about it , from the Washington post;“A classified report by the National Intelligence Council found that even a large-scale assault on Iran launched by the United States would be unlikely to oust the Islamic republic’s entrenched military and clerical establishment, a sobering assessment as the Trump administration raises the specter of an extended military campaign that officials say has “only just begun.”https://archive.is/2026.03.07-193951/https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/",neutral,General Conflict,every body warn washington post classify report national intelligence council find even large scale assault iran launch united state would unlikely oust islamic republic entrench military clerical establishment sober assessment trump administration raise spectre extended military campaign official say begin,negative,-0.2,0.2
30,"Interview: &quot; We already are in a scenario where the US has lost control of this war&quot;&quot;Iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the US &amp; Israel.&quot;~Political scientist Vali Nasrhttps://www.aljazeera.com/video/the-bottom-line/2026/3/4/iran-war-redrawing-the-map-of-the-middle-east-israeli-style #USPol #EUPol #IranWar #USImperialism #news #USIsraeliCrimes .",neutral,General Conflict,interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,negative,-0.3333333333333333,0.3333333333333333
31,"&quot;Imperial blowback&quot;In 1953, Churchill &amp; his US counterparts &quot;launched a coup against the democratically elected Prime Minister of Iran, Mohammad Mosaddegh, because he was nationalizing the oil industry...&quot;&quot;... and when that [US-UK] regime was overthrown in the Iranian revolution in 1979, one of the main reasons that people gave for that revolution was the overthrow of Mosaddegh in 1953...&quot;~George Monbiothttps://www.youtube.com/watch?v=eQ54eG4DjX0&amp;t=128s #USPol #UKPol #EUPol #IranWar #Imperialism #BigOil .",neutral,General Conflict,imperial blow backing churchill amp u counterpart launch coup democratically elect prime minister iran mohammad diego nationalizing oil industry usu regime overthrown iranian revolution one main reason people give revolution overthrow diego george mon,negative,-1.0,1.0
32,"Report: &quot;Classified U.S. Document Says Iran War Unlikely to Topple the Regime&quot;The document from late February doubts that Iran’s opposition would take power following either a short or extended U.S. military campaign.&quot;The document came from the National Intelligence Council, which is composed of &quot;veteran analysts who produce classified assessments meant to represent the collective wisdom of Washington’s 18 intelligence agencies.&quot;https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/ #USPol #EUPol #IranWar #TrumpLies .",neutral,General Conflict,report classify u document say iran war unlikely topple regime document late february doubt iran opposition would take power follow either short extend u military campaign document come national intelligence council compose veteran analyst produce classified assessment meant represent collective wisdom washington intelligence agency,negative,-0.14285714285714285,0.14285714285714285
33,"“In Minab, near the Strait of Hormuz, a girls school was bombed, leaving 165 children dead. Yet most Americans cannot name the town where it happened, much less the name of a single one of those girls…That is because modern war depends on a hierarchy of grief, on training people to treat foreign children as an abstraction, a number, an unfortunate ‘incident’ to be denied, obscured or investigated at leisure…the only fact that matters: Children were killed in their classroom, and they were killed with violence made possible, materially and politically, by American power.”#IranWar #children #schoolbombing https://anabaptistworld.org/when-the-bombs-fall-on-other-peoples-children/",negative,General Conflict,final near strait hormuz girl school bomb leave child dead yet american can not name town happen much less name single one girls modern war depend hierarchy grief training people treat foreign child abstraction number unfortunate incident deny obscure investigated leisure fact matter child kill classroom kill violence make possible materially politically american power,negative,-0.7777777777777778,0.7777777777777778
34,"https://www.fogolf.com/1185581/trump-looks-to-turn-attention-to-western-hemisphere-at-least-for-a-moment-at-americas-summit/ Trump looks to turn attention to Western Hemisphere, at least for a moment, at Americas summit #130850145 #article #Diplomacy #Donald #DonaldTrump #DonaldTrumpGolf #DonaldTrumpGolfing #GeneralNews #GovernmentPolicy #IranWar #Politics #trump #TrumpGolf #TrumpGolfing #WarAndUnrest #WashingtonNews #WorldNews",neutral,General Conflict,trump look turn attention western hemisphere least moment americas summit,positive,1.0,1.0
35,We’re living in hell. #Claude #IranWar #AI https://bsky.app/profile/justinling.ca/post/3mgi4xz4pv22xArticle: https://thisweekinworcester.com/exclusive-ai-error-girls-school-bombing/,negative,General Conflict,living hell,negative,-1.0,1.0
36,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump's #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resisthttps://mastodon.social/@VerdantSquareRadio/116189422851976027,neutral,General Conflict,verdant square radio playing lemon drop live trump distraction,negative,-0.3333333333333333,0.3333333333333333
37,‘Operation Epstein Distraction’: Trump’s bloody Iran ‘hype videos’ seem to target niche audience https://www.theguardian.com/us-news/2026/mar/07/trump-iran-hype-videos #IranWar #EpsteinFiles #USPol #USPolitics #RepublicansOwnThis,neutral,General Conflict,operation epstein distraction trump bloody iran hype video seem target niche audience,negative,-0.5,0.5
38,"&quot;Policy choices, not market forces of a war halfway around the world, explain the spike in prices...leading to unnecessary economy-wide #inflation and higher interest rates.&quot; https://www.thestar.com/business/opinion/trumps-war-on-iran-hasnt-altered-canadas-cost-of-making-gas-at-all-so-why/article_4cd48522-31f5-4249-92da-37bbede816c9.html  #IranWar #Uspol #BigOil #WarMachine #cdnpoli",neutral,General Conflict,policy choice market force war halfway around world explain spike price lead unnecessary economy wide high interest rate,neutral,0.0,1.0
39,NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump&#39;s #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist,neutral,General Conflict,play lemon drop live trump distraction,negative,-0.3333333333333333,0.3333333333333333
40,"Jarrod Agen, Executive Director of Trump&#39;s National Energy Dominance Council, laid bare the real motive behind the illegal Iran war on Fox Business: it&#39;s a naked grab for Iran&#39;s oil reserves. &quot;This is a long-term game,&quot; Agen said. &quot;What we want to do is get such massive oil reserves in Iran out of the hands of terrorists.&quot;Trump&#39;s &quot;peace through strength&quot; is code for imperialist resource grabs dressed up as anti-terrorism. #NarcoTerrorism #IranWar",negative,General Conflict,jarrod age executive director trump national energy dominance council lay bare real motive behind illegal iran war fox business naked grab iran oil reserve long term game age say want get massive oil reserve iran hand terrorist trump peace strength code imperialist resource grab dress antiterrorism,positive,0.2,0.2
41,This morning the cost of Trump’s insane #IranWar passed $7.6 billion. https://iran-cost-ticker.com/?mc_cid=79f08e130b&amp;mc_eid=42caf3e016,negative,General Conflict,morning cost trump insane pass billion,neutral,0.0,1.0
42,Martyn Turner @turnercartoons on #Trump #Putin #Iran #IranWar #Netanyahu #IranIsraelWar – political cartoon gallery in London original-political-cartoon.com,neutral,General Conflict,martin turner political cartoon gallery london originalpoliticalcartooncom,neutral,0.0,0.0
43,"#GeoPolitics: Imagine that you're a superpower who picks a fight with a theocratic regime half way across the world for no good reason. And you're about to proudly declare victory when the theocracy goes on a rampage, pulls the entire neighborhood into the war, blocks a strategic shipping channel &amp; causes a severe oil supply shock.And that's when it hits you! You forgot to top up your Strategic Oil Reserves before entering the war! 🤦#IranWar - The war of #Hubris &amp; #Blunders!",negative,General Conflict,imagine superpower pick fight theocratic regime half way across world good reason proudly declare victory theocracy go rampage pull entire neighbourhood war block strategic shipping channel amp cause severe oil supply shock hit forget top strategic oil reserve enter war person face palm war amp,neutral,0.0,1.0
44,Christian Adams @Adamstoon1 on #KeirStarmer #Iran #IranWar #RoyalNavy #MiddleEastConflict @Telegraph – political cartoon gallery in London original-political-cartoon.com,neutral,General Conflict,christian adams political cartoon gallery london originalpoliticalcartooncom,neutral,0.0,0.0
45,Oil and gas prices rapidly rise as Iran war shows no signs of letting upNEW YORK&nbsp;—&nbsp;The price of oil surged higher and showed no signs of halting its rapid climb a week…#NewsBeep #News #BreakingNews #alsalazar #barrel #breakingnews #day #diesel #gasprice #Gasoline #Iran #iranwar #majorrefinery #MiddleEast #Oil #PresidentTrump #price #u.s. #weekhttps://www.newsbeep.com/423054/,negative,General Conflict,oil gas price rapidly rise iran war show sign let new yorknbspnbspthe price oil surge high show sign halt rapid climb week,positive,1.0,1.0
46,"RE: https://journa.host/@ScottLucas/116186718091385958US National Intelligence Council: US- #Israel war is unlikely to topple #Iran regimeAnalysts concluded regime would respond to killing of Supreme Leader w protocols designed to preserve continuity of powerProspect of Iran’s opposition taking control of country described as “unlikely""#IranWar",neutral,General Conflict,national intelligence council u war unlikely topple regime analyst conclude regime would respond kill supreme leader protocol design preserve continuity power prospect iran opposition take control country describe unlikely,negative,-0.25,0.25
47,"Great Power Spillover from the Iran War: Implications for China, Russia, Turkey, and Europe | The Washington Institute #IranWar https://www.washingtoninstitute.org/policy-analysis/great-power-spillover-iran-war-implications-china-russia-turkey-and-europe",neutral,General Conflict,great power spillover iran war implication china russia turkey europe washington institute,neutral,0.0,1.0
48,BLAHBYLON&#39;S MUSIC SELECTIONS#BlahbylonsMusicSelections #Music #80sMusic #War #IranWar  Culture Club - The War Song https://www.youtube.com/watch?v=GBd5W9IA7n0&amp;list=RDGBd5W9IA7n0&amp;start_radio=1,neutral,General Conflict,blah nylon music selection culture club war song,negative,-1.0,1.0
49,It doesn&#39;t get any better than this.&quot;Torpedos must be the only pedos the U.S. government is willing to fire.&quot;#PedophileProtectors #IranWar #USPolitics #War #TrumpIsGuilty #TrumpIsAPedo,neutral,General Conflict,get good torpedo must pesos u government willing fire,positive,1.0,1.0
50,"See my video, ""How We Rein in #Fascism Amid #War"" https://www.youtube.com/watch?v=cSyHuEqhDhc #politics #brooklyn #impeachment #trump #iran #iranwar #protests",neutral,Protest/Activism,see video rein amid,neutral,0.0,0.0
51,Thoughtful piece on spread of collateral damage for #Kenya #journalism #IranWar @deutschewelle https://www.dw.com/en/kenya-braces-as-middle-east-conflict-escalates/a-76218179,neutral,General Conflict,thoughtful piece spread collateral damage,neutral,0.0,1.0
52,"2/2  The same goes for the frequent protests.  Makes you wonder who's more ""liberal"".  So today I’ll only share a photo of a burning dumpster (damage left by a group of people) with censored political graffiti.  I think this is important for people to understand, so please share.  #IranWar #Politics",negative,Protest/Activism,go frequent protest make wonder liberal today ill share photo burn dumpster damage leave group people censor political graffiti think important people understand please share,negative,-0.2,0.2
53,"I&#39;m puzzled as to why people (BBC news editors) are expecting #Iran to stop hitting countries which are allowing the USA to launch illegal attacks on it.I take the apology to be for attacks on countries that have not been used by the USA, but am not sure if that&#39;s the case. UK too is joining the illegal war by allowing the USA to attack Iran from our bases. #IranWar",negative,Military Action,puzzled people bic news editor expect stop hitting country allow u launch illegal attack take apology attack country use u sure case u join illegal war allow u attack iran base,negative,-1.0,1.0
54,"In case you’re wondering, just like the #USA &amp;  #Israel, #Iran is regularly launching missiles &amp; drones.They’re striking a lot of oil infrastructure in the region.It may not seem that way because filming or posting about it is illegal -people are being arrested for it.The same goes for the frequent protests.Makes you wonder who&#39;s more &quot;liberal&quot;.So today I’ll only share a photo of a burning dumpster (damage left by a group of people) with censored political graffiti.#IranWar #Politics",neutral,Protest/Activism,case wonder like amp regularly launch missile amp drone strike lot oil infrastructure region may seem way film post illegal people arrest go frequent protest make wonder liberal today ill share photo burn dumpster damage leave group people censor political graffiti,negative,-0.25,0.25
55,"RE: https://journa.host/@ScottLucas/116186718091385958#UAE President Mohamed bin Zayed issues pointed warning over #Iran retaliatory strikes""UAE has thick skin and bitter flesh – we are no easy prey.We will carry out our duty towards our country, our people, and our residents who are also part of our family""#IranWar",neutral,General Conflict,president mohamed bin payed issue point warn retaliatory strike thick skin bitter flesh easy prey carry duty towards country people resident also part family,negative,-0.6,0.6
56,"The comedy just writes itself, folks.#Trump #EricTrump #IranWar #Nepotism",neutral,General Conflict,comedy write folk,neutral,0.0,0.0
57,"At 1733z, there are still just 2 #jamming txs in use from #Iran, on 7495 against Radio Farda, and 15750.3 against Iran International.  Will they still divert one of them to the V32 #numberstation on 7910 USB after 1800z, even though... it's no longer on air? 🤣  #shortwave #IranWar #WARINIRAN",neutral,General Conflict,still tvs use radio garda iran international still divert one u even though long air roll floor laughing,neutral,0.0,0.0
58,From 2024. Who knew Trump was as a psychic? I&#39;m sure he hears that all the time. No one does psychism like him. #Trump #IranWar #StockMarket #EconomicSlowdown #EconomicStagnation #War #POTUS,neutral,General Conflict,knew trump psychic sure hears time one psych ism like,positive,1.0,1.0
59,"This aged well, you Totenkopf.#USPolitics #IranWar https://pbs.twimg.com/media/HCQKQAiXUAIrnyH.jpg?name=orig",neutral,General Conflict,age well tot knopf,positive,1.0,1.0
60,"Bombs Over Healthcare: Trump’s Iran Attack Highlights America’s War Spending Crisis  Trump’s Iran bombing highlights a harsh reality: trillions for war while Americans are told healthcare, childcare, and family leave are unaffordable.   #antiWarAnalysis #BeltAndRoadInitiative #CostsOfWarProject #defenseContractors #endlessWar #IranWar #MedicareForAll #militaryIndustrialComplex #opportunityCostWar #ProgressivePolitics #TrumpIranBombing #USForeignPolicy #USMilitaryBases #warEconomy  https://wp.me/p1OjMZ-oLa",negative,Military Action,bomb health trump iran attack highlight americas war spending crisis trump iran bomb highlight harsh reality trillion war american tell healthcare childcare family leave unaffordable,negative,-0.5,0.5
61,"&quot;I stood before the rubble of our home… the place that sheltered us and held our dreams. Today, only memories and sorrow remain. But we still cling to hope, and we try to start anew. Whoever can help us or even share our story, please don&#39;t hesitate. 💔🙏&quot;https://chuffed.org/project/154105-islam-and-family-in-gaza-rebuilding-hope-after-war#Gaza #palestine #gazagenocide #freepalestine #genocide #Israel #gazaverified #gazamutualaid #SupportGaza #starvingcivilians #starvingpeople #PalestineAction #iran #IranWar #trump #iran #mutualaid #MutualAidRequest",negative,General Conflict,stood rubble home place shelter u hold dream today memory sorrow remain still cling hope try start anew whoever help u even share story please do hesitate broken heart fold hand,negative,-1.0,1.0
62,#hero #gaza #officer #senate #iran #iranwar Another US army hero arrested for disrupting a senate hearing to protest Epstein’s distraction war on Iran .https://substack.com/@rawstory/note/c-224350974?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action,negative,Protest/Activism,another u army hero arrest disrupt senate hearing protest epstein distraction war iran,negative,-0.5,0.5
63,"Well, everyone must be able to contribute something to Daddy's weird plans - strength is inherited!https://www.draftbarrontrump.com#sendbarron #trump #IranWar",neutral,General Conflict,well everyone must able contribute something daddy weird plan strength inherit,neutral,0.0,1.0
64,"This is exactly why I love #Mastodon. I was wondering, why on earth would the #Kurds want a part of this war after the way this country has treated them, over and over? Not a question you can get answered easily in the US media sphere. But here it is, on our quirky little network: Real, actual Kurds are *not* in on this. Grateful for this last refuge of truthful communication on the Internet!#IranWar #USpol  1/2 https://post.lurk.org/@crickxson/116187393025201277",neutral,General Conflict,exactly love wonder earth would want part war way country treat question get answer easily u medium sphere quirky little network real actual kurd grateful last refuge truthful communication internet,positive,1.0,1.0
