row_id,sentiment_text,ground_truth
22,Iran’s Assembly of Experts could meet to elect new supreme leader within 24 hours  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/irans-assembly-experts-meet-elect-new-supreme-leader-within-24-hours-27286869/,neutral
23,Iranian-Americans rally in Washington for democracy amid U.S.-Israel military campaignWASHINGTON (Gray DC) – Iranian-Americans gathered in Washington on Saturday to rally for democracy in Iran as the…#NewsBeep #News #BreakingNews #AnaSami #AyatollahKhamenei #breakingnews #Dc #DonaldTrump #Iran #iranwar #IranianFuture #Iranian-Americans #iranians #Israel #POTUS #U.S.Iran #Washingtonhttps://www.newsbeep.com/423199/,neutral
24,Media Is Lying To You About The Kurds https://youtu.be/wX9TjE4aYh0?si=hZCVQFhsbWSEQ8xd#Kurdish #Kurdistan #kurds #iranwar #handsoffiran,neutral
25,"Interview: &quot;Trump Has No Clear Plan on Iran&quot;: fmr US officials&quot;Before my resignation, [this]is exactly what I was warning against&quot;.~Hala Rharrit&quot;It is ludicrous to expect the American people to believe that Iran would have attacked the US preemptively in the middle of negotiations.&quot;And the contradictory messages from Trump et al. show “how little they were really thinking this through before they went to war.”~Jasmine El-Gamalhttps://www.democracynow.org/2026/3/5/iran_state_defense #USPol #EUPol #IranWar .",neutral
26,"Analysis: &quot;Israel planned this war on Iran for 40 years.&quot;Netanyahu:&quot;This combined effort allows us to do what I have hoped to achieve for 40 years: to crush the regime of terror completely. That&#39;s my promise &amp; this is what is going to happen&quot; ~Netanyahu&quot;For 40 years, each year has been proclaimed the very last opportunity to stop the &quot;mad mullahs&quot; from obtaining a bomb – a bomb that never materialised.&quot;~Jonathan Cookhttps://www.middleeasteye.net/opinion/israel-planned-war-iran-40-years-everything-else-smoke-screen#USPol #EUPol #IranWar #USIsraeliCrimes .",negative
27,"Interview: &quot;America’s War for Greater Israel&quot;Mouin Rabbani unpacks:* the explosive new documents exposing Israel’s systematic ethnic cleansing in 1948;* Trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether Tehran’s bombing of Gulf states is a strategic miscalculation;* how Israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval.https://www.middleeastmonitor.com/20260303-americas-war-for-greater-israel-palestine-this-week-with-mouin-rabbani/ #USPol #EUPol #IranWar #USIMperialism .",negative
28,"Analysis: &quot;The Iranian Revolutionary Guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;Iran is fighting a techno-guerrilla war, [while] the US &amp; Israel fight a conventional one&quot;&quot;Quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. Not even Putin re Zelenskyy.https://www.juancole.com/2026/03/fighting-guerrilla-conventional.html #USPol #EUPol #IranWar #news .",neutral
29,"#operationepicfailure #iran #iranwar #taco Every body warned about it , from the Washington post;“A classified report by the National Intelligence Council found that even a large-scale assault on Iran launched by the United States would be unlikely to oust the Islamic republic’s entrenched military and clerical establishment, a sobering assessment as the Trump administration raises the specter of an extended military campaign that officials say has “only just begun.”https://archive.is/2026.03.07-193951/https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/",neutral
30,"Interview: &quot; We already are in a scenario where the US has lost control of this war&quot;&quot;Iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the US &amp; Israel.&quot;~Political scientist Vali Nasrhttps://www.aljazeera.com/video/the-bottom-line/2026/3/4/iran-war-redrawing-the-map-of-the-middle-east-israeli-style #USPol #EUPol #IranWar #USImperialism #news #USIsraeliCrimes .",neutral
31,"&quot;Imperial blowback&quot;In 1953, Churchill &amp; his US counterparts &quot;launched a coup against the democratically elected Prime Minister of Iran, Mohammad Mosaddegh, because he was nationalizing the oil industry...&quot;&quot;... and when that [US-UK] regime was overthrown in the Iranian revolution in 1979, one of the main reasons that people gave for that revolution was the overthrow of Mosaddegh in 1953...&quot;~George Monbiothttps://www.youtube.com/watch?v=eQ54eG4DjX0&amp;t=128s #USPol #UKPol #EUPol #IranWar #Imperialism #BigOil .",neutral
32,"Report: &quot;Classified U.S. Document Says Iran War Unlikely to Topple the Regime&quot;The document from late February doubts that Iran’s opposition would take power following either a short or extended U.S. military campaign.&quot;The document came from the National Intelligence Council, which is composed of &quot;veteran analysts who produce classified assessments meant to represent the collective wisdom of Washington’s 18 intelligence agencies.&quot;https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/ #USPol #EUPol #IranWar #TrumpLies .",neutral
33,"“In Minab, near the Strait of Hormuz, a girls school was bombed, leaving 165 children dead. Yet most Americans cannot name the town where it happened, much less the name of a single one of those girls…That is because modern war depends on a hierarchy of grief, on training people to treat foreign children as an abstraction, a number, an unfortunate ‘incident’ to be denied, obscured or investigated at leisure…the only fact that matters: Children were killed in their classroom, and they were killed with violence made possible, materially and politically, by American power.”#IranWar #children #schoolbombing https://anabaptistworld.org/when-the-bombs-fall-on-other-peoples-children/",negative
34,"https://www.fogolf.com/1185581/trump-looks-to-turn-attention-to-western-hemisphere-at-least-for-a-moment-at-americas-summit/ Trump looks to turn attention to Western Hemisphere, at least for a moment, at Americas summit #130850145 #article #Diplomacy #Donald #DonaldTrump #DonaldTrumpGolf #DonaldTrumpGolfing #GeneralNews #GovernmentPolicy #IranWar #Politics #trump #TrumpGolf #TrumpGolfing #WarAndUnrest #WashingtonNews #WorldNews",neutral
35,We’re living in hell. #Claude #IranWar #AI https://bsky.app/profile/justinling.ca/post/3mgi4xz4pv22xArticle: https://thisweekinworcester.com/exclusive-ai-error-girls-school-bombing/,negative
36,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump's #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resisthttps://mastodon.social/@VerdantSquareRadio/116189422851976027,neutral
37,‘Operation Epstein Distraction’: Trump’s bloody Iran ‘hype videos’ seem to target niche audience https://www.theguardian.com/us-news/2026/mar/07/trump-iran-hype-videos #IranWar #EpsteinFiles #USPol #USPolitics #RepublicansOwnThis,neutral
38,"&quot;Policy choices, not market forces of a war halfway around the world, explain the spike in prices...leading to unnecessary economy-wide #inflation and higher interest rates.&quot; https://www.thestar.com/business/opinion/trumps-war-on-iran-hasnt-altered-canadas-cost-of-making-gas-at-all-so-why/article_4cd48522-31f5-4249-92da-37bbede816c9.html  #IranWar #Uspol #BigOil #WarMachine #cdnpoli",neutral
39,NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump&#39;s #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist,neutral
40,"Jarrod Agen, Executive Director of Trump&#39;s National Energy Dominance Council, laid bare the real motive behind the illegal Iran war on Fox Business: it&#39;s a naked grab for Iran&#39;s oil reserves. &quot;This is a long-term game,&quot; Agen said. &quot;What we want to do is get such massive oil reserves in Iran out of the hands of terrorists.&quot;Trump&#39;s &quot;peace through strength&quot; is code for imperialist resource grabs dressed up as anti-terrorism. #NarcoTerrorism #IranWar",negative
41,This morning the cost of Trump’s insane #IranWar passed $7.6 billion. https://iran-cost-ticker.com/?mc_cid=79f08e130b&amp;mc_eid=42caf3e016,negative
42,Martyn Turner @turnercartoons on #Trump #Putin #Iran #IranWar #Netanyahu #IranIsraelWar – political cartoon gallery in London original-political-cartoon.com,neutral
43,"#GeoPolitics: Imagine that you're a superpower who picks a fight with a theocratic regime half way across the world for no good reason. And you're about to proudly declare victory when the theocracy goes on a rampage, pulls the entire neighborhood into the war, blocks a strategic shipping channel &amp; causes a severe oil supply shock.And that's when it hits you! You forgot to top up your Strategic Oil Reserves before entering the war! 🤦#IranWar - The war of #Hubris &amp; #Blunders!",negative
44,Christian Adams @Adamstoon1 on #KeirStarmer #Iran #IranWar #RoyalNavy #MiddleEastConflict @Telegraph – political cartoon gallery in London original-political-cartoon.com,neutral
45,Oil and gas prices rapidly rise as Iran war shows no signs of letting upNEW YORK&nbsp;—&nbsp;The price of oil surged higher and showed no signs of halting its rapid climb a week…#NewsBeep #News #BreakingNews #alsalazar #barrel #breakingnews #day #diesel #gasprice #Gasoline #Iran #iranwar #majorrefinery #MiddleEast #Oil #PresidentTrump #price #u.s. #weekhttps://www.newsbeep.com/423054/,negative
46,"RE: https://journa.host/@ScottLucas/116186718091385958US National Intelligence Council: US- #Israel war is unlikely to topple #Iran regimeAnalysts concluded regime would respond to killing of Supreme Leader w protocols designed to preserve continuity of powerProspect of Iran’s opposition taking control of country described as “unlikely""#IranWar",neutral
47,"Great Power Spillover from the Iran War: Implications for China, Russia, Turkey, and Europe | The Washington Institute #IranWar https://www.washingtoninstitute.org/policy-analysis/great-power-spillover-iran-war-implications-china-russia-turkey-and-europe",neutral
48,BLAHBYLON&#39;S MUSIC SELECTIONS#BlahbylonsMusicSelections #Music #80sMusic #War #IranWar  Culture Club - The War Song https://www.youtube.com/watch?v=GBd5W9IA7n0&amp;list=RDGBd5W9IA7n0&amp;start_radio=1,neutral
49,It doesn&#39;t get any better than this.&quot;Torpedos must be the only pedos the U.S. government is willing to fire.&quot;#PedophileProtectors #IranWar #USPolitics #War #TrumpIsGuilty #TrumpIsAPedo,neutral
50,"See my video, ""How We Rein in #Fascism Amid #War"" https://www.youtube.com/watch?v=cSyHuEqhDhc #politics #brooklyn #impeachment #trump #iran #iranwar #protests",neutral
51,Thoughtful piece on spread of collateral damage for #Kenya #journalism #IranWar @deutschewelle https://www.dw.com/en/kenya-braces-as-middle-east-conflict-escalates/a-76218179,neutral
52,"2/2  The same goes for the frequent protests.  Makes you wonder who's more ""liberal"".  So today I’ll only share a photo of a burning dumpster (damage left by a group of people) with censored political graffiti.  I think this is important for people to understand, so please share.  #IranWar #Politics",negative
53,"I&#39;m puzzled as to why people (BBC news editors) are expecting #Iran to stop hitting countries which are allowing the USA to launch illegal attacks on it.I take the apology to be for attacks on countries that have not been used by the USA, but am not sure if that&#39;s the case. UK too is joining the illegal war by allowing the USA to attack Iran from our bases. #IranWar",negative
54,"In case you’re wondering, just like the #USA &amp;  #Israel, #Iran is regularly launching missiles &amp; drones.They’re striking a lot of oil infrastructure in the region.It may not seem that way because filming or posting about it is illegal -people are being arrested for it.The same goes for the frequent protests.Makes you wonder who&#39;s more &quot;liberal&quot;.So today I’ll only share a photo of a burning dumpster (damage left by a group of people) with censored political graffiti.#IranWar #Politics",neutral
55,"RE: https://journa.host/@ScottLucas/116186718091385958#UAE President Mohamed bin Zayed issues pointed warning over #Iran retaliatory strikes""UAE has thick skin and bitter flesh – we are no easy prey.We will carry out our duty towards our country, our people, and our residents who are also part of our family""#IranWar",neutral
56,"The comedy just writes itself, folks.#Trump #EricTrump #IranWar #Nepotism",neutral
57,"At 1733z, there are still just 2 #jamming txs in use from #Iran, on 7495 against Radio Farda, and 15750.3 against Iran International.  Will they still divert one of them to the V32 #numberstation on 7910 USB after 1800z, even though... it's no longer on air? 🤣  #shortwave #IranWar #WARINIRAN",neutral
58,From 2024. Who knew Trump was as a psychic? I&#39;m sure he hears that all the time. No one does psychism like him. #Trump #IranWar #StockMarket #EconomicSlowdown #EconomicStagnation #War #POTUS,neutral
59,"This aged well, you Totenkopf.#USPolitics #IranWar https://pbs.twimg.com/media/HCQKQAiXUAIrnyH.jpg?name=orig",neutral
60,"Bombs Over Healthcare: Trump’s Iran Attack Highlights America’s War Spending Crisis  Trump’s Iran bombing highlights a harsh reality: trillions for war while Americans are told healthcare, childcare, and family leave are unaffordable.   #antiWarAnalysis #BeltAndRoadInitiative #CostsOfWarProject #defenseContractors #endlessWar #IranWar #MedicareForAll #militaryIndustrialComplex #opportunityCostWar #ProgressivePolitics #TrumpIranBombing #USForeignPolicy #USMilitaryBases #warEconomy  https://wp.me/p1OjMZ-oLa",negative
61,"&quot;I stood before the rubble of our home… the place that sheltered us and held our dreams. Today, only memories and sorrow remain. But we still cling to hope, and we try to start anew. Whoever can help us or even share our story, please don&#39;t hesitate. 💔🙏&quot;https://chuffed.org/project/154105-islam-and-family-in-gaza-rebuilding-hope-after-war#Gaza #palestine #gazagenocide #freepalestine #genocide #Israel #gazaverified #gazamutualaid #SupportGaza #starvingcivilians #starvingpeople #PalestineAction #iran #IranWar #trump #iran #mutualaid #MutualAidRequest",negative
62,#hero #gaza #officer #senate #iran #iranwar Another US army hero arrested for disrupting a senate hearing to protest Epstein’s distraction war on Iran .https://substack.com/@rawstory/note/c-224350974?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action,negative
63,"Well, everyone must be able to contribute something to Daddy's weird plans - strength is inherited!https://www.draftbarrontrump.com#sendbarron #trump #IranWar",neutral
64,"This is exactly why I love #Mastodon. I was wondering, why on earth would the #Kurds want a part of this war after the way this country has treated them, over and over? Not a question you can get answered easily in the US media sphere. But here it is, on our quirky little network: Real, actual Kurds are *not* in on this. Grateful for this last refuge of truthful communication on the Internet!#IranWar #USpol  1/2 https://post.lurk.org/@crickxson/116187393025201277",neutral
65,"⬆️ &gt;&gt; I&#39;ve been #ImmersionLearning #French #VictorHugo perfectly captured the essence of #FoxNews, #CNN, and a whole bunch of American &quot;news&quot; #media all the way back in 1862.&quot;il y a beaucoup de bouches qui parlent et fort peu de têtes qui pensent.&quot;#Trump #Miller #StephenMiller #Hegseth #PeteHegseth #Iran #IranWar",neutral
66,"Interview: &quot;A huge amount of global oil &amp; gas passes through the Strait of Hormuz, particularly for Europe. It&#39;s already starting to affect the oil price.&quot;Alastair Crooke unpacks:* the flawed assumptions of the US about how a war on Iran would pan out;* Iran&#39;s military strategy - first, exhaust the Israeli et al. interceptors...* how the war will affect the global resource flow and economy;&amp; much more.https://www.youtube.com/watch?v=YL8rXeNkXsQ #USPol #eupol #IranWar #USImperialism #Economy .",neutral
67,#freeonis reporting from the world stage.https://www.youtube.com/watch?v=Tj0OJedEXHM#Ukraine #CloseOurSky #Trump #middleEast #Iran #IranWar #USA,neutral
68,@Lazarou when i hear bomber i think defensive #IranWar #UKPol #UKpolitics #Labour #War #USA #Israel #WWIII #EpsteinClass,neutral
69,"9465 kHz: BBC Emergency Service to #Iran in Farsi, changed freq again, from 9770 back to originally listed 9465. Still via Woofferton🇬🇧 as the signal is MASSIVE here in Poland 🔥 #shortwave #IranWar #WARINIRAN",neutral
70,"There's also a coalition of organizations continuing protests against Trump's #IranWar across the US if you want to exercise your constitutional rights in person too, but for your own safety please carefully read the preparation advice of your State's local organizers!!! Trump's goons are arresting, assaulting, gassing &amp; shooting innocent protestors, so it's worth considering other safer ways to show your support like donating to these orgs or volunteering. https://www.answercoalition.org/iran",negative
71,Influencer ‘stranded’ due to Iran war because he refuses to fly economy class  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/influencer-stranded-due-iran-war-refuses-fly-economy-class-27283751/,neutral
72,What a shit-show....#KeirStarmer #Starmer #YvetteCooper #EdMilliband #ShabanaMahmood #RachelReaves #EpsteinClass #Labour #IranWar,negative
73,Everybody in the US now pays a dollar more a gallon for gas because Trump wants us to stop talking about how he raped a 13 year old. #Iran #Epstein #IranWar #EpsteinWar #Trump #ICE #Vote,negative
74,This &quot;Defensive action&quot; lie is looking paper thin.Another of Labour&#39;s &#39;illegal wars&#39; that they&#39;re dragging this nation into....how Epstein Class of them. https://www.theguardian.com/world/2026/mar/07/us-bomber-lands-in-uk-after-warning-of-surge-in-strikes-on-iran#IranWar #UKPol #UKpolitics #Labour #War #USA #Israel #WWIII #EpsteinClass,negative
75,"NEW: A classified U.S. intel report completed before the war warned that even a large-scale attack wouldn’t topple Iran’s regime. Analysts say no internal force in Iran is powerful enough to challenge the regime’s remaining grip on power.Yet Trump says:“We want them to have a good leader. We have some people who I think would do a good job.""“Bending the knee to Trump would go against everything they stand for,” one expert said. https://wapo.st/4lcrq3M #press  #iranwar",neutral
76,Oil and gas prices surge as Iran war expandsNEW YORK (AP) — The price of oil surged higher and showed no signs of halting its rapid…#NewsBeep #News #BreakingNews #APTopNews #breakingnews #Business #ClaudioGalimberti #DonaldTrump #Energyindustry #Generalnews #Iran #Irangovernment #iranwar #Israelgovernment #JerryDalpiaz #MarkDoran #MiddleEast #U.S.news #Warandunresthttps://www.newsbeep.com/422963/,negative
77,"There are also several petitions demanding Congress end Trump's #IranWar , signing them can help pressure your elected officials to do the right thing too! https://sign.moveon.org/petitions/tell-congress-stop-war-on-iran",neutral
78,The Fog of War's First Casualty  https://peer.adalta.social/w/jB36sBY8oGeEN6SVWuWsfN,neutral
79,"RE: https://journa.host/@ScottLucas/116188138466644158With Pakistan TV:Evaluating possible de-escalation of US- #Israel war on #Iran, expressing caution because of lack of success to #Qatar Differences between #Trump and Israeli aims Facts over Iran nuclear programMilitary and economic consequences of a spreading #IranWar",neutral
80,"Congress provides a website where you can find contact information for your elected officials by entering your address, use it to let them know you do not support Trump's illegal #IranWar ! Then keep doing it until they vote to end it!https://www.congress.gov/members/find-your-member",neutral
81,Spencer Kimball reports global trade faces disruption as the Iran war halts tanker traffic in the Strait of Hormuz. The Trump administration announced a $20 billion reinsurance program to restart oil movement. Click to understand the impact of this critical move.https://www.cnbc.com/2026/03/06/trump-reinsurance-oil-iran-war.html #OilPrices #IranWar #GlobalTrade,neutral
82,"NOW ON VERDANT SQUARE RADIO == NOW PLAYING == The Coffee Klatch with Robert Reich 3/7/26 - In With #Iran, Out With #KristiNoem ft. W. Kamau Bell  https://www.youtube.com/watch?v=pWzKLEiITN8 #news #uspol #geopolitics #iranwar #trump #commentary #progressive #left #RobertReich #Democrats #vsn #radio  #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resisthttps://mastodon.social/@VerdantSquareRadio/116188304568114344 #news #arts #left #commentary #radio #publicradio #community",neutral
83,"""Quiet escalation:🚨#Russia is reportedly giving Iran real-time intel on US warships.#Iran doesn’t need decisive victories to escalate.💔It only needs casualties.This dramatically changes the escalation dynamics—&amp; what comes next.Realists have long warned that🚨great powers rarely stay neutral when their rivals are under pressure.Support begins quietly.🚨Then the conflict widens.""-R Pape#Putin #TrumpRegime #IranWar #Israel #DOD #Hegseth #WarCrimes #Protest #USPolhttps://escalationtrap.substack.com/p/the-escalation-trap-widens-russias",neutral
84,"When the corporate media mentions US allies in the #Iranwar, my mind immediately goes the the last year of US #tariffs. US corporate will attempt to have it all ways but the US citizens are not buying corporate media nonsense anymore.#NoKings !",negative
85,NOW ON VERDANT SQUARE RADIO == NOW PLAYING ==  This Week In #WhiteSupremacy | E271 - Trump’s War https://www.youtube.com/watch?v=Y1RZCj0ueUI&amp; #news #arts #culture #history #education #BlackMastodon  #antiracism #racism #storytelling  #LearnSomething #radio #vsn  #progressive #left  #1HoodMedia  #iranwar #trump #ramadan #iranwar  #UnwarrantedDefault #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resisthttps://mastodon.social/@VerdantSquareRadio/116188484059747350 #news #arts,neutral
86,"Report: &quot;Classified U.S. Document Says Iran War Unlikely to Topple the Regime&quot;The document from late February doubts that Iran’s opposition would take power following either a short or extended U.S. military campaign.&quot;The document came from the National Intelligence Council, which is composed of &quot;veteran analysts who produce classified assessments meant to represent the collective wisdom of Washington’s 18 intelligence agencies.&quot;https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/ #USPol #EUPol #IranWar #TrumpLies .",neutral
87,"""Trump’s #IranWar,🚨🚨🚨Week 1: — Energy/economic crisis — Reg instability— Hotels with Americans attacked in UAE, Bahrain, Iraq— 20,000 flights ME cancelled, 1M impacted — 0il $91, up ~50% since 2/27— ~1600 killed, most in Iran &amp; incl 7 other countries —Regime escalating, not collapsing""Demanding🚨“unconditional surrender” is great rhetoric, but bad strategy. In WWII🚨it helped lock German elites behind Hitler instead of splitting them away...""-R Pape#Economy #WarCrimes #Protest #USPol",neutral
88,"Another insightful conversation about the U.S. war with Iran, between David Frum and Tom Nichols, both advocates for the U.S. war in Iraq. Nichols, a professor emeritus of national security at the U.S. Naval War College, notes the U.S. lacks a strategy for the war. What's the objective motivating all the military strikes? Are we there yet? #IranWar #Iran #MiddleEasthttps://youtu.be/8w7KOoD8sCs?si=stFAdKVk4oZQoY6X",neutral
89,"On the first day of the Iran war, missiles struck a girls&#39; elementary school in Minab three times. Up to 180 killed — most of them girls aged 7–12.U.S. investigators now say it was likely an American munition.The school opened in 2015. It showed up in satellite imagery as a school since 2016. It was on a U.S. target list on February 28.Seven days later. No public answers.Full investigation: 🔗 https://zurl.co/jtSjN #IranWar #Accountability #Journalism #TrueSignalMedia",negative
90,"@pait At this point, it's about Iranian freedom and American freedom. It only changes the religion of the lunatics in power. Poor people!#USPol #IranWar #Autocracy",negative
91,"Michael Goldfarb offers this thoughtful and insightful discussion of the U.S.-Iranian war. Journalist, author, and Beirut native Kim Ghattas says Iran's regime aims to survive and believes it will outlast Donald Trump's attention span and commitment. Going back to Carter, Iran has outmaneuvered every U.S. president. #IranWar #Iran #MiddleEast https://www.goldfarbpod.com/iran-us-israel-lebanon-a-conversation-with-kim-ghattas/",neutral
