cleaned_text,ground_truth,prediction,confidence
president mohamed bin payed issue point warn retaliatory strike thick skin bitter flesh easy prey carry duty towards country people resident also part family,neutral,neutral,0.655
comedy write folk,neutral,neutral,0.835
still tvs use radio garda iran international still divert one u even though long air roll floor laughing,neutral,neutral,0.76
knew trump psychic sure hears time one psych ism like,neutral,neutral,0.66
age well tot knopf,neutral,neutral,0.83
bomb health trump iran attack highlight americas war spending crisis trump iran bomb highlight harsh reality trillion war american tell healthcare childcare family leave unaffordable,negative,negative,0.645
stood rubble home place shelter u hold dream today memory sorrow remain still cling hope try start anew whoever help u even share story please do hesitate broken heart fold hand,negative,negative,0.675
another u army hero arrest disrupt senate hearing protest epstein distraction war iran,negative,negative,0.74
well everyone must able contribute something daddy weird plan strength inherit,neutral,neutral,0.53
exactly love wonder earth would want part war way country treat question get answer easily u medium sphere quirky little network real actual kurd grateful last refuge truthful communication internet,neutral,neutral,0.655
arrow get live perfectly capture essence whole bunch american news way back beau coup de touch que parent fort per de tote que pendent,neutral,neutral,0.855
interview huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke unpacks flaw assumption u war iran would pan iran military strategy first exhaust israeli al interceptor war affect global resource flow economy amp much,neutral,neutral,0.655
report world stage,neutral,neutral,0.725
hear bomber think defensive,neutral,neutral,0.77
khz bic emergency service farsi change freq back originally list still via woofer united kingdom signal massive poland,neutral,neutral,0.855
also coalition organization continue protest trump across u want exercise constitutional right person safety please carefully read preparation advice state local organizer trump goon arrest assault gas amp shoot innocent protestors worth consider safe way show support like donate org volunteer,negative,negative,0.575
influence strand due iran war refuse fly economy class,neutral,neutral,0.62
shit show,negative,negative,0.58
everybody u pay dollar gallon gas trump want u stop talk raped year old,negative,negative,0.63
defensive action lie look paper thin another labours illegal war drag nation epstein class,negative,negative,0.68
new classify u intel report complete war warn even large scale attack topple iran regime analyst say internal force iran powerful enough challenge regime remain grip power yet trump say want good leader people think would good job bend knee trump would go everything stand one expert say,neutral,neutral,0.545
oil gas price surge iran war expand new york price oil surge high show sign halt rapid news,negative,negative,0.685
also several petition demand congress end trump sign help pressure elect official right thing,neutral,neutral,0.555
fog war first casualty,neutral,neutral,0.665
pakistan evaluate possible de escalation u war express caution lack success difference israeli aim fact iran nuclear program military economic consequence spread,neutral,neutral,0.585
congress provide website find contact information elect official enter address use let know support trump illegal keep vote end,neutral,neutral,0.785
spencer kim report global trade face disruption iran war halt tanker traffic strait hormuz trump administration announce billion reinsurance program restart oil movement click understand impact critical move,neutral,neutral,0.755
verdant square radio play coffee klatch robert reich kama bell,neutral,neutral,0.815
quiet escalation police car light reportedly give iran real time intel u warships need decisive victory escalate broken heart need casualty dramatically change escalation dynamic amp come next realist long warn police car light great power rarely stay neutral rival pressure support begin quietly police car light conflict widener page,neutral,neutral,0.525
corporate medium mention u ally mind immediately go last year u u corporate attempt way u citizens buy corporate medium nonsense anymore,negative,neutral,0.585
verdant square radio play week trump war,neutral,neutral,0.855
report classify u document say iran war unlikely topple regime document late february doubt iran opposition would take power follow either short extend u military campaign document come national intelligence council compose veteran analyst produce classified assessment meant represent collective wisdom washington intelligence agency,neutral,neutral,0.665
trump police car light police car light police car light week energy economic crisis reg instability hotel american attack use bahrain iraq flight cancel impact since kill iran amp incl country regime escalate collapsingdemandingpolice car light unconditional surrender great rhetoric bad strategy wei police car light help lock german elites behind hitler instead split away page,neutral,neutral,0.7
another insightful conversation u war iran david tom nichols advocate u war iraq nichols professor emeritus national security u naval war college note u lack strategy war whats objective motivate military strike yet,neutral,neutral,0.605
first day iran war missile strike girl elementary school final three time kill girl age u investigator say likely american munition school open show satellite imagery school since u target list february seven day later public answer full investigation link,negative,negative,0.64
point iranian freedom american freedom change religion lunatic power poor people,negative,negative,0.69
michael gold arb offer thoughtful insightful discussion u iranian war journalist author beirut native kim ghat say iran regime aim survive believe outlast donald trump attention span commitment go back carter iran outline cover every u president,neutral,neutral,0.585
interview huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke unpacks flaw assumption u war iran would pan iran military strategy first exhaust israeli al interceptor war affect global resource flow economy amp much,neutral,neutral,0.655
white house wage online propaganda campaign aggressive tasteless video seemingly design young right american men,negative,negative,0.7
white house block release information increase risk terrorist attack u soil donald trump white house block top u intelligence agency warn law enforcement across country rise threat homeland tie war iran daily mail reveal,negative,negative,0.63
ruby israel make u story serve several purpose none honest deflects accountability administration order strike feed narrative u helplessness superpower supposedly drag war much small ally insult intelligence anyone pay attention recycles reactionary framework idea disproportionate israeli influence u foreign policy let washington hook question control answer look money weapon chain command,negative,negative,0.63
play week trump war,neutral,neutral,0.66
here question go unasked dumb ass nation commit genocide overthrow nation resist america justify anything iran destroy exist white people figure yet many war name much genocide shame little gain bad guy,negative,negative,0.88
military advisor police car light warn trump conflict sen graham travel see time recent week mtg mem intel agency police car light coach lobby trump action show intel persuade trump talk tomb aware police car light liken cdr hitler weak po remind trump effort assai moment make hustler resp carnage amp economic fallout double exclamation mark,negative,neutral,0.715
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian teacher parent neighbours etc arrive order kill well,negative,negative,0.73
go warren davidson amp thomas massive vote resolution dino must replace along horrendous turncoat amp liar john letterman vote jared golden greg landsman juan vargas henry cellar,negative,negative,0.555
imperial blow backing churchill amp u counterpart launch coup democratically elect prime minister iran mohammad diego nationalizing oil industry usu regime overthrown iranian revolution one main reason people give revolution overthrow diego george mon,neutral,neutral,0.855
iran reject trumps demand unconditional surrender dream aloud pee skin issue rare apology neighbour gulf state iranian strike war enters eighth day,negative,negative,0.67
update many freq hear spot iranian bubble hammer amp khz note bubble hammer always freq iran far slightly beat many freq free,neutral,neutral,0.805
trump vance rubin seth patel amp top fail u think bully iranians ont send son finish politician status soldier must see amp share best explanation really happen,neutral,neutral,0.755
war int tonight tomorrow late piece concrete evidence amongst thousand trump full shit,negative,negative,0.585
accord trump amp u win accord u mainstream jury still accord independent source amp european amp middle eastern news far amp true well look ten hundred billion dollar,neutral,neutral,0.7
saudi count embattle pakistan help stop iranian attack,neutral,neutral,0.685
play coffee klatch robert reich kama bell,neutral,neutral,0.815
u special force kurdish militant prepare ground incursion iran report least nine maj commando ii aircraft u special operation command arrive u,neutral,neutral,0.695
right arrow america pedro,neutral,neutral,0.78
ten year ago use call tinfoil hat theory even sound bit much post national consolidating resource prepare abandon general populace thing like economic collapse climate disaster war possibly yesterday analysis,neutral,neutral,0.66
interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,neutral,neutral,0.775
analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure war tactic kill civilian leader war crime amp unprecedented modern warfare even putin teen key,neutral,neutral,0.545
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian arrive order kill well,negative,negative,0.76
white house go full paul even notorious hollywood heart war aggression video get click account one tasteless video edit another ever since,negative,negative,0.685
anybody confirm new true,neutral,neutral,0.8
war toll far iran military leadership cairo u israel strike much wider array target iran,negative,negative,0.495
dear mag at happy see felon don trump epstein war skyrocket beloved car gas price sport utility vehicle fuel pump chart decrease chart increase roll floor laughing,neutral,neutral,0.75
discussion alongside gen sud dakar see prof saran sing highlight admin rejection mediation seek return u talk question plan regime capitulation,neutral,neutral,0.79
international medium u expand war end,neutral,neutral,0.69
analysis threaten next war current white house social medias insult troll lie challenge spring race gulf u govt bash fund issue era stream van,negative,negative,0.57
time radio week review threat u gulf dilemma u late anti asylum blast future scott lucas mann,neutral,neutral,0.735
bright political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.855
donald trump decision refill strategic petroleum reserve drain predecessor joe biden leave consumer expose oil price shock follow u israeli attack iran grin squint face,negative,negative,0.605
ask social write president say ware donald trumps defense know lie often time often,negative,negative,0.705
say must listen,neutral,neutral,0.75
nicholas kris write pres trump prime minister benjamin tanya israel architect war seem afflict arrogance power president first task make u safe instead seem trump catapult u unnecessary conflict consume american iranian life alike cost billion dollar damage economy propel u peril,negative,neutral,0.54
data centre become target digital infrastructure enters middle east conflict,neutral,neutral,0.545
ukraine ukrainian manufacturer cheap interceptor drone design knock enemy unmanned aerial vehicle say capacity export large volume amid enquiry united state middle east prompted war,neutral,neutral,0.72
israel fire broad scale strike tehran war hit second week israel announce new wave broad scale strike tehran saturday escalate war middle east enter second week oil price surge fear global supply disruption,negative,negative,0.69
interview iran military prowess amp america amp israel impulsive imperial hubris display detail analysis u go war iran military strategy u amp israeli goal amp flaw assumption effect war global resource flow huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke,neutral,neutral,0.645
hope kevin sarcastic otherwise hes simply another manga dip shit,negative,neutral,0.71
defense force repeat warn civilian southern evacuate also demand evacuation southern suburb estimate lebanese civilian flee home,neutral,neutral,0.725
go awkward cant wait late update new ballroom hope hear drape selection jim wright,neutral,neutral,0.9
late israel hammer beirut tehran iran fire missiles israel gulf rank president reject demand united state unconditional surrender saturday apologize,negative,negative,0.715
defense force special force carry raid southern locate remain col ron arad whose plane go bomb mission witness say lebanese kill israeli land helicopter town nazi chit eastern begin valley,neutral,neutral,0.715
unsanctioned tanker blacklist handle iranian liquefy petroleum gas cross strait hormuz friday one handful vessel make waterway recent day,neutral,neutral,0.77
minister seek end conflict could bring economy world gulf energy exporter shut production price oil rise barrel even war end take qatar week month return normal cycle delivery,neutral,neutral,0.59
iran conflict could pose additional challenge emerge market sovereign channel energy import remittance fiscal subsidy exchange rate access international finance,neutral,neutral,0.725
illusion maritime transparency,neutral,neutral,0.56
u automaker still change mind eve,neutral,neutral,0.745
u automaker still change mind eve,neutral,neutral,0.745
data never lie narrator data lie,neutral,neutral,0.76
hmm hope flight path spoof real thing real flight barometric altitude signal loss edge iran airspace guess ill go look overnight news look like miss data plane land dub crazy crazy descent pattern,neutral,neutral,0.815
must saturday cheerful news,positive,neutral,0.625
sat mar weird cant find iranian bubble hammer face open mouth iran international radio garda unnamed garda barely audible do see carrier either sig daytime game,neutral,neutral,0.82
iran president apologize neighbour defy u demand rank president apologize attack regional country keep criticism america comment come iranian missile drone continue fly toward israel gulf arab state late,neutral,neutral,0.585
interview americas war great israel ruin rabbi unpacks explosive new document expose israel systematic ethnic cleanse trump top diplomacy moment negotiation gain traction whether tehran bomb gulf state strategic miscalculation israel unending quest security fuel decade expansion war amp regional upheaval,negative,negative,0.55
analysis gain lose change govt leg deal invasion corruption effect u war,neutral,neutral,0.63
mania gaza palestinian territory mother four child husband daughter injured income live hard condition link hope please donate share kindness help u survive folded hand broken heart,negative,negative,0.78
donald trump hammer iran big bomb yet demand unconditional surrender,negative,negative,0.615
iran vow surrender strike hit tehran airport follow live update iran president ma oud pee skin say country surrender israel united state war enters second week,negative,negative,0.75
ask chat gemini claude likely global war iran conflict full breakdown backhand index point,neutral,neutral,0.515
rise kill airstrikes nazi chit begin valley eastern,negative,negative,0.755
trump want iranian rise take back country bomb kill regime change extermination,negative,negative,0.715
u send anti drone system mideast successful use ukraine official satan american anti drone system proven work russian drop airport time army time defense news marine pastimes military time navy time drone der time,neutral,neutral,0.62
iran war enters second week trump demand unconditional surrender war iran enter second week amid renewed uncertainty hostility end,negative,negative,0.54
color diagnose derangement syndrome,neutral,neutral,0.84
love post iran chinese social medium either straight fact post remind u humanity ground see fear monger gloat like see english social medium surprise israeli propaganda straight israeli embassy china people comment literally tell scram bugger whole easy get news update conflict igbo fee clean list update do wade racist bigoted hat fill awfulness get update xiaoping political fill beautiful video chinese people visit iran post comment common theme wish peaceful iran war english social medium violent racist bigoted do know part believe due strict moderation chinese social medium nirvana mind people allow incite violence hatred also nature feel chinese people prefer harmony conflict naturally averse wasp believe u bomb playground hate child much post translate english google translate theory do,neutral,negative,0.5
trump privately show serious interest u grind troop range president private comment focus large scale ground invasion iran rather idea small contingent u troop would use specific strategic purpose source say,neutral,neutral,0.655
failure u iran war parallel failure u vietnam war,negative,negative,0.5
michael tubal czechia repeat button president issue video message main point reject unconditional surrender united state apologize neighbour country target iranian attack say attack carry independently regional commander removal senior leadership state since yesterday likely friday temporary leadership council order halt attack neighbour country unless territory use attack iran warn regional group play hand united state attack iran likely refer kurdish arm group,neutral,neutral,0.655
say care whether leader democratically elect fact happy democratically elect leader want select leader he think carefully roll floor laugh roll floor laugh roll floor laughing,neutral,neutral,0.805
lack plan affect economy maybe meeting mar top leader room show fear martyr strategy hurt people vote manga nov know trump would break negotiation two main u negotiator amateurs real estate billionaire trump nyx friend trump sony law,neutral,neutral,0.78
iran apology gulf state mask hard line surrender,negative,negative,0.715
admin dismisses report russia provide intel target u military personnel press secretary levitt whether happen frankly really matter stupid question ask time,negative,negative,0.635
visual misinformation iran war fuel state actor attack spread bomb iran u israeli force video circulate widely,negative,negative,0.545
analysis israel plan war iran year combine effort allow u hop achieve year crush regime terror completely promise amp go happen tanya year year proclaim last opportunity stop mad mullah obtain bomb bomb never materialise jonathan cook,negative,negative,0.59
let hope fold hand,neutral,neutral,0.855
agree make total sense almost go heaven,positive,negative,0.4
airline ground dubai flight british expat fight leave region,neutral,neutral,0.805
possible make marking flag stuff fly high proof actually,neutral,neutral,0.78
politics girl short war iran go believe correct disappoint u congress vote stop insanity,negative,negative,0.64
health ministry people kill wounded strike baalbek district eastern overnight,negative,negative,0.735
defense minister retaliation action undermine regional security stability hope iranian side exercise wisdom avoid miscalculation,neutral,neutral,0.625
president pee skin respond demand social medium unconditional surrender demand dream take grave apologizes iran attack gulf state continue saturday morning,neutral,neutral,0.58
top world back scott lucas sasha far bach,neutral,neutral,0.86
pentagon acknowledges tough quest counter iranian drone trump administration airport time army time defense news marine pastimes military time navy time time,neutral,neutral,0.6
u israeli airstrikes far fail destroy iran military command control network accord u source insider foreign office believe regime command structure weaken remain intact despite kill supreme leader ali karen saturday,neutral,neutral,0.625
addition broadcast already place kit cha anywhere tack era,neutral,neutral,0.85
twenty webster chat share schedule yesterday expansion radio garda via site put din kit kuwait put put kit kit kit kit,neutral,neutral,0.945
day strike turn deep parent guardian,neutral,neutral,0.695
missile gulf could dim light dhaka,neutral,neutral,0.655
ballistic missile hit air base strike u antsy radar thad missile system,negative,negative,0.575
people uprising government war,negative,negative,0.69
somehow do think u troop survive iran remember iran iraq war remember mass casualty iran make russian human wave infantry attack look like circus die thousand take one u infantry company trump seriously fuck time time severe rec year old iraqi kid fresh boot fight israel year hezbollah friends one win,negative,negative,0.825
pete hag seth need prison war crime,negative,negative,0.705
pete hag seth need prison war crime,negative,negative,0.705
ceasefire agenda ceasefire iranian agenda right ceasefire may come imposed cost,neutral,neutral,0.685
late israel hammer beirut tehran iran attack israeli target gulf country say intercept ballistic missile drone saturday iran launch another wave mideast war uranus late,negative,negative,0.47
interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,neutral,neutral,0.775
law investigation find u likely behind iranian school massacre investigator reportedly believe american force behind bomb iranian girl school kill,negative,negative,0.79
timeline destruction middle east one week since first iran strike,neutral,neutral,0.615
well know still alive old day would thank usually male deity give u another day thankful one another male demagogue press big red button night rather insignificant grey lever small purple switch junior family member decide call,neutral,neutral,0.78
prof prof think live ruth bench iran strongman record timothy snyder live video ruth ben ghat,neutral,neutral,0.885
trump real plan iran might come view article thursday phone interview axis trump say involve appointment new supreme leader iran like delay rodriguez venezuela leave aside naive notion iran anything like venezuela remark splash several gallon cold water anyone democratic protester iranian military renegade kurdish militiaman anyone might think heed trump call join war hop reshape iran afterwards trump view one take charge see domination reward violently oust old leader war iran trump war tantalus even thousand way million people pay price,negative,negative,0.7
ad receiver push kind crap either jam deliberately spoof probably jam someone gas jammer throw position significantly,negative,neutral,0.725
rerouted dec instead dub next airport dubai definitely must issue etc go watch night interest hope civilian fatality fiasco,neutral,neutral,0.72
firm pause reveal iran attack u base one world lead commercial satellite image company say friday placing hold release imagery part regional enters second week,neutral,neutral,0.65
privately show serious interest u grind troop iran double exclamation mar angry toddler tantrum go cost u live billion dollar could far well spent home fighting israel war never direct threat u expert agree chaos monkey consider boot ground iran big western europe start look like quagmire like many ill conceive military adventure,negative,negative,0.745
use seem make new plan people run around circle look like packed stack circle,neutral,neutral,0.665
plane look hop plane longer visible see land position could gas jamming land turned ad either bad stuff happen anyway land airport attack bueno,neutral,neutral,0.64
look fun reportedly debris issue dub,neutral,neutral,0.755
mad atomic archive stolen israel show iran already perfect multi point detonation system neutron initiator amp high voltage fire equipment require make bomb decade ago endtropysubstackcompoperation epic folly fury,negative,negative,0.655
wise well thought deep analysis foundation amp implication foolish war iran endtropysubstackcompoperation epic folly fury,negative,negative,0.595
surge generate photo videos iran war careful watch,neutral,neutral,0.51
bubble look set burst sooner expect heavily fund middle eastern money country look limit withdraw funding maintain stability amid regional war,negative,negative,0.44
iran strike gulf energy site rattle market raise recession fear u israeli military buildup precede war erupt one week ago iran continuously warn world,negative,negative,0.665
never get use u secretary defense talk war like he year old beat big brother video game,negative,negative,0.71
bad could generalize war middle east start far right leadership u israel become look good,negative,negative,0.6
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian arrive order kill well,negative,negative,0.76
agency love kinda broken heart please help get clothes bring little joy heart three year deprive happiness support donation mean much u fold hand sparkle,negative,negative,0.7
trump unconditional surrender demand maximalist war aim practical strategy,neutral,negative,0.455
republican illegal war fuck coward u senate reject war power bill would halt attack iran,negative,negative,0.67
heart heavy sorrow kindness bring u comfort broken heart pensive face desperate situation implore please help u support could change everything together save family people hug folded hand please help fold hand lead face urgently need fee family goal,negative,negative,0.725
blue heart united state,neutral,neutral,0.575
iranian revolutionary guard corps revert guerrilla root operate something like cell structure report iran suggest kill ayatollah ali karen establish three four layer command major institution one layer kill israeli bombardment one beneath activates,neutral,neutral,0.725
people think conscientious objection fact sheet resource right hotline military discharge military counselling,neutral,neutral,0.585
arrow sen uncover connection mention others strike target trump aggression nowhere find file trump might try distract u epstein speech whitehorse put focus back scandal well russia,neutral,neutral,0.61
analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure tactic killing civilian leader war crime amp unprecedented modern warfare even putin,negative,neutral,0.56
interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,neutral,neutral,0.775
though side inhumane totally agree suggest compromise side step cease mcgovern people butcher international law human right home abroad,negative,neutral,0.465
republican concerned report russia help iran give information use american troop week give trump power whatever want unnecessary war idiot late,negative,negative,0.52
interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,neutral,neutral,0.775
operation stun world,neutral,neutral,0.705
here finance investment world say global clear longer go everyone include u consumer suffer,neutral,neutral,0.535
verdant square radio playing david parkman show firing start embarrassment grow,neutral,neutral,0.855
qatar say wreck global economy let get straight start war along side nobody israel want war already take six american life cost u taxpayer billion per day last month u lose job also subsidize israel cost country accuse also somehow found billion bail trump buddy argentina another billion call rent go cost grocery roof healthcare cost skyrocket many lose insurance coverage personal debt hit time high crisis mean cant afford home new car outreach inflation back increase long war continue do forget,negative,negative,0.795
unconditional surrender happen unless commit ground force,neutral,neutral,0.72
new york market tumble second day oil price surge barrel february payroll shock job loss versus gain expect spark stagflation fear iran war disrupts middle east oil supply trump demand unconditional surrender,negative,negative,0.74
brief look new delivery system iran deployed war punch air defence system min,neutral,neutral,0.61
think israeli empire great israel look likely rate palestinian ethnically cleanse kill use slave labour trump seem compromised israel russia,negative,negative,0.62
pei fer effect even factor regime change war middle east cost billion dollar day disrupt global economy spike oil price,negative,neutral,0.475
three big story yesterday wallop trump world jay duo copy,neutral,neutral,0.845
really want destroy labour party remake thing easy green,negative,negative,0.8
today see various time radio garda anywhere iran international via take garda,neutral,neutral,0.785
twice deploy u army iraq told lie wed like care,negative,negative,0.67
donald trump banner important read small print bill bra shall,neutral,neutral,0.85
speaker mike johnson falsely claim war dan pei fer explain war illegal call war admit crime,negative,negative,0.685
addition want active twenty user report iran international another new freq strong bubble also entire time iran international go around,neutral,neutral,0.585
ben rhodes benefit bib tanya putin u defense contractor rest u much russia gain continue diminution u munition decrease attention ukraine gulf state hedge potential refugee crisis could bolster far right party europe increase division inside america copy,neutral,neutral,0.64
one freq live overlook today khz actually live hear persian talk keep think bic afghanistan nope twenty webster chat say actually iran international face open mouth think still active weak,neutral,neutral,0.77
play david parkman show firing start embarrassment grow,negative,negative,0.605
stranded american middle east navigate cancel flight confusion alyssa ramos evacuation kuwait involve hour journey across four continent u government department state news,neutral,neutral,0.62
trump demand unconditional surrender make iran great united state president donald trump demand iran unconditional surrender week launch war israel country,negative,negative,0.66
acknowledge exceptional coverage iran conflict year insights invaluable follow engage stream comprehensive update,positive,positive,0.665
khz another new frequency radio garda jam either although jamming like pulsate noise enter around fri propagate check still yes another today addition,neutral,neutral,0.87
arrival massive u bomber u base join murderous bombing include accord bic school hospital cultural site,negative,neutral,0.575
pal evacuation order history head mission police car light pal hour flee right arrow sleep carson need water amp essential israeli fin min rich tour border la amp vow broken heart soon bahia look like khan commentary id similar pattern broken heart apocalyptic scene unfold tehran israeli def min kate call tornado plan destroy tehran,neutral,neutral,0.725
uzbek citizen israel detain post video mock civilian rush bomb shelter rocket alert uzbek citizen detain,neutral,neutral,0.73
uzbek citizen israel detain post video mock civilian rush bomb shelter rocket alert,neutral,neutral,0.64
ever figure reason start,neutral,neutral,0.735
year ago ukraine tell card today u ask kit defend iranian drone swarm war strange way reshuffle deck,neutral,neutral,0.7
year ago ukraine tell card today u ask kit defend iranian drone swarm war strange way reshuffle deck,neutral,neutral,0.7
